,acronym,Phrases
8505,RMA,relaxation mode analysis (RMA)
8506,MBTSI,Modified Buneman Two-Stream Instability (MBTSI)
8507,CVO,CaVO {3} (CVO)
8508,NCZ,nitrogen-doped CZ (NCZ)
8509,NCZ,nitrogen doped Czochralski (NCZ); nitrogen-doped Czochralski (NCZ)
8510,OCLs,optical confinement layers (OCLs)
8511,ITBCS,integrated TA breast screening system (ITBCS)
8512,SIBFA,Sum of Interaction Between Fragments Ab initio computed (SIBFA); Sum of interaction between fragments ab initio computed (SIBFA)
8513,HWs,heating microwaves (HWs)
8514,μS,μS (μS)
8515,LLE,Laboratory for Laser Energetics (LLE); Laboratory for Laser Energetic (LLE)
8516,LLE,largest LE (LLE)
8517,LLE,Largest Lyapunov exponents (LLE); largest Lyapunov exponent (LLE)
8518,LLE,lead-lithium eutectic (LLE)
8519,LLE,liquid-liquid equilibria (LLE)
8520,LLE,locally linear embedding (LLE)
8521,PDX,path decomposition expansion method (PDX)
8522,PDX,Poloidal Divertor Experiment (PDX)
8523,LAOD,large amplitude oscillatory dilatation (LAOD)
8524,MRPD,medium-resolution powder diffractometer (MRPD)
8525,MRPD,medium repetition-rate pulsed doppler (MRPD)
8526,Ai,an interstitial impurity (Ai)
8527,POIG,preform optimized infiltration growth (POIG)
8528,D-MOSFET,double-diffused metal-oxide-semiconductor field effect transistor (D-MOSFET)
8529,PPY,polypyrrole (PPY)
8530,CLYC,Cs {2}LiYCl {6} (CLYC)
8531,WCSTCs,wave- and current-supported turbidity currents (WCSTCs)
8532,E-B,Euler-Bernoulli (E-B)
8533,RSMs,reciprocal space maps (RSMs); reciprocal-space maps (RSMs); Reciprocal space maps (RSMs); reciprocal space mappings (RSMs)
8534,RSMs,Reynolds Stress Models (RSMs)
8535,MUL,multiplication (MUL)
8536,An,and nonradiative recombination from Shockley-Read-Hall (An)
8537,DRGF,dipolar renormalized gaussian fluctuation (DRGF)
8538,RLCA,reaction-limited cluster aggregation (RLCA)
8539,DGTD,discontinuous Galerkin time-domain (DGTD)
8540,FEMI,fluid-elastic mode I (FEMI)
8541,L/G/L,Linear medium/Graphene/Linear medium (L/G/L)
8542,CTs,compact toroids (CTs); compact-toroids (CTs)
8543,SIAs,self-interstitial atoms (SIAs)
8544,LRT,linear response theory (LRT); Linear Response Theories (LRT)
8545,LRT,linear Boltzmann equation (LRT)
8546,DSS,Doppler Shift Spectrograph (DSS); Doppler Shift Spectroscopy (DSS); Doppler shift spectroscopy (DSS)
8547,DSS,degree of supersaturation (DSS); degrees of supersaturation (DSS)
8548,DSS,demodulated standing soliton (DSS)
8549,USG,undoped-silica glass (USG)
8550,RV,real-vacuum (RV)
8551,RV,real-virtual (RV)
8552,RV,radius of the SAV (RV)
8553,SLC,stressed liquid crystals (SLC)
8554,SLC,solute carrier (SLC)
8555,HRIBF,Holifield Radioactive Ion Beam Facility (HRIBF)
8556,D–F,decrease in the H–F (D–F)
8557,D–F,doubly excited in-plane bending states and singly excited H–F (D–F)
8558,PTAS,potassium salt (PTAS)
8559,RNR,Relative noise ratio (RNR); relative noise ratio (RNR)
8560,RNR,ribonucleotide reductase (RNR)
8561,HFCC,hyperfine coupling constants (HFCC)
8562,DRCPSP,decentralized resource constrained project scheduling problem (DRCPSP)
8563,QLCA,quasi-localized charge approximation (QLCA); quasilocalized charge approximation (QLCA)
8564,LRTEM,low-resolution transmission electron microscopy (LRTEM)
8565,HRGS,high resolution Gamma spectroscopy (HRGS)
8566,DGT,density gradient theory (DGT)
8567,MCC,Monte Carlo Collision (MCC); Monte Carlo collision (MCC); Monte Carlo collisions (MCC)
8568,MCC,motor-cargo complex (MCC)
8569,MCC,microcrystalline cellulose (MCC)
8570,MCC,Mitsubishi Chemical Corporation (MCC)
8571,MCC,mutually connected cluster (MCC); mutually connected clusters (MCC)
8572,MCC,minority carrier capture technique (MCC)
8573,MCC,Matthews Correlation Coefficient (MCC)
8574,PESs,Potential Energy Surfaces (PESs); potential energy surfaces (PESs)
8575,ET-,energy of the recoiling target ET+ (ET-)
8576,CA1,Cornu Ammonis 1 (CA1)
8577,RMR-CC,reduced multi-reference CC (RMR-CC)
8578,DVM,discrete velocity method (DVM)
8579,DVM,discrete variational method (DVM)
8580,DVM,dynamic Vreman’s model (DVM)
8581,DVM,Discrete Velocity Model (DVM)
8582,DVM,discrete vortex model (DVM)
8583,CFPCs,carbon fibre-polymer composites (CFPCs)
8584,XRR,X-Ray Reflection (XRR); X-Ray reflectivity (XRR); X-ray Reflectivity (XRR); X-ray reflectometry (XRR); X-Ray Reflectivity (XRR); X-Ray Reflectometry (XRR)
8585,XRR,x-ray reflectivity (XRR); x-ray reflectance (XRR); x-ray reflectometry (XRR); x-ray-reflectivity (XRR); X-ray reflectivity (XRR); x-ray reflection (XRR); X-ray reflection (XRR)
8586,XRR,x-ray reflection measurements (XRR)
8587,HR-Si,high-resistivity silicon (HR-Si)
8588,HR-XPS,high resolution X-ray photoelectron spectroscopy (HR-XPS)
8589,HR-XPS,high resolution XPS (HR-XPS)
8590,HR-XPS,high resolution core level XPS (HR-XPS)
8591,VM-AFM,voltage modulated atomic force microscopy (VM-AFM); voltage-modulated atomic force microscopy (VM-AFM)
8592,PrBCO,PrBa {2}Cu {3}O {7−δ} (PrBCO); PrBa {2}Cu {3}O {7−x} (PrBCO)
8593,PPP,poly-p-phenylene (PPP)
8594,PPP,public–private partnership (PPP); public-private partnership (PPP)
8595,PPP,Pariser-Parr-Pople (PPP); Pariser–Parr–Pople (PPP)
8596,Impatt,impact ionization avalanche transit-time (Impatt)
8597,TS2,translation receives only around 27% (TS2)
8598,EFT,effective field theory (EFT); effective-field theory (EFT)
8599,IV,in reflexive separation (IV)
8600,IV,inner-valence (IV)
8601,IV,internal viscosity (IV)
8602,IV,Instrumental Variable (IV); instrument variable (IV)
8603,IV,involves the hydrolysis of tin(IV)
8604,IV,investigated recently by dc current–voltage (IV)
8605,IV,Influenza virus (IV)
8606,IV,interstitial-vacancy (IV)
8607,IV,in current-voltage (IV)
8608,IV,iodine value (IV)
8609,IV,intravenous (IV)
8610,IV,it consists mainly of current–voltage (IV)
8611,IV,inhomogeneities and current-voltage (IV)
8612,IV,is not always clear whether the measured current-voltage (IV)
8613,IV,illuminated current-voltage (IV)
8614,IV,isothermal current–voltage (IV)
8615,IV,ions are believed to be in the Ce (IV)
8616,IV,inertial-viscous (IV)
8617,Fe3,Fe^{3+}(Fe3)
8618,ARM,angular remanence magnetization (ARM)
8619,ARM,Advanced RISC Machine (ARM)
8620,ARM,angular remanence curve (ARM)
8621,LSPWM,Level Shift PWM (LSPWM)
8622,ECE-I,ECE-imaging (ECE-I)
8623,DCAST,Double-Cusp Analyzer for SupraThermals (DCAST)
8624,FSK,Frequency-Shift-Keying (FSK); Frequency Shift Keying (FSK); frequency-shift keying (FSK)
8625,Max-SAT,maximum satisfiability (Max-SAT)
8626,ILPs,ionic liquid precursors (ILPs)
8627,CFCMC,continuous fractional component Monte Carlo (CFCMC)
8628,MEF,mouse embryonic fibroblast (MEF)
8629,MEF,metal enhanced fluorescence (MEF)
8630,IEY,Inelastic electron yield (IEY)
8631,MQWs,multi-quantum-wells (MQWs); multiple-quantum wells (MQWs); multiple quantum wells (MQWs); multiquantum wells (MQWs); multi-quantum wells (MQWs)
8632,MQWs,multiple QWs (MQWs)
8633,EBM,Endothelial Cell Basal Media (EBM)
8634,EBM,electron beam melting (EBM)
8635,EGAM,EP-induced GAM (EGAM)
8636,KKL,Koo–Kleinstreuer–Li (KKL)
8637,KKL,Kamiński-Kisielowski-Lewandowski (KKL)
8638,AlGa,a large breakdown voltage of the (AlGa)
8639,AlGa,a high-density 2DEG induced by polarization doping is not expected at the (AlGa)
8640,Amp,a current preamplifier (Amp)
8641,Amp,as measuredphotocurent(Amp)
8642,R-time,relaxation time (R-time)
8643,DDBP,discrete discontinuous basis projection (DDBP)
8644,DOF,degree of freedom (DOF); degrees-of-freedom (DOF); degree-of-freedom (DOF); degrees of freedom (DOF)
8645,DOF,depth of field (DOF); depth of focus (DOF); depth-of-field (DOF); depth-of-focus (DOF)
8646,DOF,Dover Objective Focusing (DOF)
8647,DGEBA,Diglycidyl ether of bisphenol A (DGEBA)
8648,MLW,maximally localized Wannier (MLW)
8649,DPS,double-parton scattering (DPS); double parton scattering (DPS)
8650,DPS,discrete particle simulation (DPS)
8651,DPS,Diphenyl sulfide (DPS)
8652,DPS,double-positive (DPS); double positive (DPS)
8653,DPS,differential power sensing (DPS)
8654,DPS,dark plane solitons (DPS)
8655,DPS,diphenyl stilbene (DPS)
8656,DPS,dipole polarizability surface (DPS)
8657,DPS,discrete path sampling (DPS)
8658,DPS,Doppler pin system (DPS)
8659,STO/LAO,SrTiO {3}/LaAlO {3} (STO/LAO)
8660,HEWL,hen egg white lysozyme (HEWL)
8661,DSH,delayed self-heterodyne (DSH)
8662,PA-CVD,plasma assisted-chemical vapor deposition (PA-CVD)
8663,B/FC,bouncing/fast coalescence (B/FC)
8664,GOS,graphene-oxide-semiconductor (GOS); graphene/oxide/semiconductor (GOS)
8665,GOS,generalised oscillator strength (GOS); generalized oscillator strength (GOS)
8666,GOS,Gd2O2S (GOS)
8667,GOS,germanium-on-silicon (GOS)
8668,GOS,graphene-oxide-Si (GOS)
8669,TNCr,the ordering temperature of Cr^{3+} (TNCr)
8670,At,areal throughput (At)
8671,At,adding the dopant reduces the Atwood number (At)
8672,MSCL,multi-sensor core logger (MSCL)
8673,HCIR,helically corrugated interaction region (HCIR)
8674,PFGSE,pulsed-field gradient spin echo (PFGSE)
8675,PDET,PDE Tomography (PDET)
8676,TDO,tunnel diode oscillator (TDO)
8677,CSSs,cascading style sheets (CSSs)
8678,GMCC,giant mutually connected cluster (GMCC)
8679,HGS,Helical Grad-Shafranov (HGS); helical Grad-Shafranov (HGS); helical Grad-Shafranov equation (HGS)
8680,HGS,Hollow glass spheres (HGS)
8681,AGRs,advanced gas-cooled reactors (AGRs)
8682,Mbar,megabar (Mbar)
8683,DIASs,dust ion acoustic solitons (DIASs)
8684,IMSL,Integrated Mathematical Statistical Library (IMSL)
8685,α-,α-monoclinic (α-)
8686,ZTO,Zinc tin oxide (ZTO); zinc tin oxide (ZTO); zinc-tin-oxide (ZTO); zinc-tin oxide (ZTO)
8687,SX,screened exchange (SX)
8688,SX,soft X-ray (SX)
8689,L/S,line/space (L/S)
8690,EPST,electrically programmable shock tester (EPST)
8691,RVB,resonating valence bond (RVB); resonating-valence-bond (RVB)
8692,RTD-PDs,resonant tunneling diode-photodetectors (RTD-PDs)
8693,MNP,magnetic nanoparticles (MNP); metallic nanoparticle (MNP); metal nanoparticle (MNP); metal nanoparticles (MNP)
8694,PM-FM,paramagnetic to ferromagnetic (PM-FM); paramagnetic-ferromagnetic (PM-FM); paramagnetic–ferromagnetic (PM-FM)
8695,YPPV,yellow PPV (YPPV)
8696,MPSH,molecular project self-consistent Hamiltonian (MPSH)
8697,GQMEs,generalized quantum master equations (GQMEs)
8698,DID,dipole-induced-dipole approximation (DID)
8699,DID,dipole-induced-dipole (DID)
8700,DID,dynamics with implicit degrees of freedom (DID)
8701,TID,total ionizing dose (TID)
8702,TID,transient ion drift (TID)
8703,TID,Total ionization damage (TID)
8704,SVT,spin valve transistor (SVT); spin-valve transistor (SVT)
8705,GTFs,Gaussian type functions (GTFs)
8706,MESI,many-electron self-interaction (MESI)
8707,PPCD,Pulsed Poloidal Current Drive (PPCD)
8708,PPCD,pulsed-parallel current drive (PPCD)
8709,CoR,centers of ring (CoR); center of ring (CoR)
8710,CoR,center of the imidazolium ring (CoR)
8711,CoR,center of rotation (CoR)
8712,OECT,organic electrochemical transistor (OECT)
8713,PG-FEM,Petrov-Galerkin finite element method (PG-FEM)
8714,NMIJ,National Metrology Institute of Japan (NMIJ)
8715,DBI,double beam image (DBI)
8716,SAA,simulated annealing algorithm (SAA)
8717,SAA,shape accel array (SAA)
8718,SAA,South Atlantic Anomaly (SAA)
8719,LFCC,laboratory-fixed Cartesian coordinates (LFCC); laboratory-frame Cartesian coordinate (LFCC)
8720,KPB,Kadomtsev Petviashvili Burgers (KPB); Kadomtsev-Petviashvili-Burger (KPB)
8721,COPET,corona-onset poling at elevated temperature (COPET)
8722,ASOPS,Asynchronous Optical Sampling (ASOPS); asynchronous optical sampling (ASOPS); Asynchronous optical sampling (ASOPS)
8723,REH,rotational electromagnetic energy harvester (REH)
8724,DUTs,data from large statistical samples of test structures (DUTs)
8725,DUTs,devices under tests (DUTs); device-under-tests (DUTs); devices under test (DUTs)
8726,SXRR,specular x-ray reflectivity (SXRR)
8727,PQN,principal quantum number (PQN)
8728,HTFC,high-temperature field cooling (HTFC)
8729,PIND,pinhole neutron diffraction (PIND)
8730,IGFET,insulated-gate field-effect transistor (IGFET)
8731,AEEs,Adiabatic excitation energies (AEEs); adiabatic excitation energies (AEEs)
8732,AEEs,average energy of electrons (AEEs)
8733,DSMO,dual sliding mode observer (DSMO)
8734,WGRs,whispering-gallery resonators (WGRs)
8735,OmpLA,outer membrane phospholipase A (OmpLA)
8736,FXs,free excitons (FXs)
8737,GLQ,Gauss-Legendre quadrature (GLQ)
8738,BMFE,balance of mean forces equation (BMFE)
8739,PLQY,PL quantum yield (PLQY)
8740,PLQY,photoluminescence quantum yield (PLQY)
8741,MAW,missile approach warning system (MAW)
8742,MEMC,Molecular Exchange Monte Carlo (MEMC)
8743,WEA,Wind Energy Area (WEA)
8744,PPSM,poly-Poisson sigma model (PPSM)
8745,UED,ultrafast electron diffraction (UED); Ultrafast Electron Diffraction (UED)
8746,SmBCO,Sm–Ba–Cu–O (SmBCO)
8747,SmBCO,SmBa {2}Cu {3}O {y} (SmBCO)
8748,ISFs,intrinsic stacking faults (ISFs)
8749,MRRs,micro ring resonators (MRRs); microring resonators (MRRs)
8750,σTr/Tr,σ {Tr/Te}=|T {r}/T {e}|(σTr/Tr)
8751,DXA,Dislocation extraction algorithm (DXA); Dislocation Extraction Algorithm (DXA); dislocation extraction algorithm (DXA)
8752,DXA,during the simulation using the “dislocation extraction algorithm” (DXA)
8753,SPIDRR,single photon initiated dissociative rearrangement reactions (SPIDRR); single photon initiated dissociative rearrangement reaction (SPIDRR)
8754,TRECs,thermally regenerative electrochemical cycles (TRECs)
8755,AFT,advanced ferrite technology (AFT)
8756,SPDMD,sparsity-promoting DMD (SPDMD)
8757,GFM,generalized fuzzy model (GFM)
8758,GFM,ghost fluid method (GFM); Ghost Fluid Method (GFM)
8759,GFM,glass fiber membrane (GFM)
8760,EOMCCSD,EOMCC with an iterative treatment of single and double (EOMCCSD)
8761,PIF,principal inertia frame (PIF)
8762,T-RMSD,tree-based RMSD (T-RMSD)
8763,BF,Bloch–Floquet (BF)
8764,BF,band-pass filter (BF)
8765,BF,BiFeO {3} (BF)
8766,BF,Bubbly Flow (BF)
8767,BF,birefringent filter (BF)
8768,BF,Bigfoot (BF)
8769,BF,Bright-field (BF); bright field (BF); bright-field (BF); Bright field (BF)
8770,BF,Boolean function (BF)
8771,BF,basis function (BF)
8772,BF,body-frame (BF); body frame (BF)
8773,BF,branching fraction (BF)
8774,BF,bifacial (BF)
8775,BF,body fixed (BF); body-fixed (BF)
8776,BF,BF	Backward–forward (BF)
8777,SXAS,soft x-ray absorption spectroscopy (SXAS)
8778,FWs,freak waves (FWs)
8779,CSF,continuum surface force method (CSF); Continuum Surface Force (CSF); continuum surface force (CSF)
8780,CSF,complex stacking fault (CSF)
8781,CSF,continuous surface tension (CSF)
8782,CSF,Configuration State Function (CSF); configuration state function (CSF); configuration state functions (CSF)
8783,CSF,charge state fraction (CSF)
8784,CSF,Contour Statistical Function (CSF); contour statistical function (CSF)
8785,GUGA,gradients using the OM2/CIS and OM2/CIS(GUGA)
8786,GUGA,graphical unitary group approach (GUGA)
8787,RAID,Resonant Antenna Ion Device (RAID)
8788,RAID,RESONANT ANTENNA ION DEVICE (RAID)
8789,MTFs,modulation transfer functions (MTFs)
8790,SmA,smectic-A (SmA); Smectic A (SmA); smectic A (SmA)
8791,TAB,Taylor Analogy Breakup (TAB)
8792,BHBs,bifurcated hydrogen bonds (BHBs)
8793,NSNMDN,nonstationary non-Markovian dichotomic noise (NSNMDN)
8794,LWRS,Light Water Reactor Sustainability (LWRS)
8795,LT-GaAs,low-temperature-grown GaAs (LT-GaAs); low-temperature grown GaAs (LT-GaAs)
8796,LT-GaAs,low-temperature-grown gallium arsenide (LT-GaAs)
8797,DAA,die attach adhesive (DAA)
8798,Skyrme-HFB,Skyrme-Hartree-Fock-Bogoliubov (Skyrme-HFB)
8799,WKBJ,Wentzel-Kramers-Brillouin-Jeffreys (WKBJ)
8800,CWR,coplanar waveguide resonator (CWR)
8801,SCSs,Scattering cross sections (SCSs); Scattering Cross Sections (SCSs)
8802,SCSs,stochastic coupled systems (SCSs)
8803,IL-MPC,iterative learning-based model predictive control (IL-MPC)
8804,LTSs,low temperature superconductors (LTSs); low-temperature superconductors (LTSs)
8805,GVM,Gaussian variation method (GVM)
8806,GVM,group velocity matching (GVM); group velocity mismatch (GVM)
8807,MMG,magnetomyogram (MMG)
8808,CWC,critical wetting concentration (CWC)
8809,GAs,Genetic Algorithms (GAs); genetic algorithms (GAs); Genetic algorithms (GAs)
8810,TCA,thermal cycle annealing (TCA)
8811,TCA,temperatures and orders ferromagnetically below austenitic Curie temperature (TCA)
8812,TCA,the sample exhibits a Curie transition of austenite (TCA)
8813,DVRs,Discrete Variable Representations (DVRs); discrete variable representations (DVRs)
8814,HEXOS,high-efficiency extreme ultraviolet overview spectrometer (HEXOS)
8815,HEXOS,High-Efficiency XUV Overview Spectrometer (HEXOS)
8816,CRs,collective resonators (CRs)
8817,CRs,carbon rods (CRs)
8818,CRs,crossover resonances (CRs)
8819,CRs,cosmic rays (CRs)
8820,FKF,FADING KALMAN FILTER (FKF)
8821,FKF,fading Kalman filter (FKF); Fading Kalman filter (FKF)
8822,ODEPR,optical detection of electron paramagnetic resonance (ODEPR); optically detected electron paramagnetic resonance (ODEPR); optically detected electron-paramagnetic-resonance (ODEPR)
8823,Yd,Y {d} is the diagonal matrix with elements (Yd)
8824,WCR,water confinement regime (WCR)
8825,WCR,waveform capture rate (WCR)
8826,I-arm,in-phase arm (I-arm)
8827,ChCl,choline chloride (ChCl)
8828,MQCT,mixed quantum-classical trajectory (MQCT); mixed quantum/classical theory (MQCT)
8829,Arc-SPS,arc melting followed by SPS (Arc-SPS)
8830,FACFs,function of the pair force fluctuations (FACFs)
8831,B-ICCG,Block-Incomplete Cholesky Conjugate Gradient (B-ICCG)
8832,GIL,gas insulated metal enclosed transmission line (GIL)
8833,GRIGC,grain rotation-induced grain coalescence (GRIGC)
8834,MAGLEV,magnetic levitation (MAGLEV)
8835,DKDP,deuterated KDP (DKDP)
8836,HVdc,high-voltage direct current (HVdc)
8837,GLOF,global luminescent oil film (GLOF); global luminescent oil-film (GLOF)
8838,FBMC,Full-band Monte Carlo (FBMC)
8839,GFPs,gel-filtered platelets (GFPs)
8840,GFPs,green fluorescent proteins (GFPs)
8841,SABRE,signal amplification by reversible exchange (SABRE)
8842,IPMs,inertial PMs (IPMs)
8843,SOLPS,Scrape Off Layer Plasma Simulator (SOLPS); Scrape-Off Layer Plasma Simulation (SOLPS)
8844,SEAWs,spin-electron acoustic waves (SEAWs)
8845,SEAWs,"spin-electron acoustic waves
Spin-electron acoustic waves (SEAWs)"
8846,EAW,electron acoustic wave (EAW)
8847,QCD,Quantum Chromo Dynamics (QCD); quantum chromodynamics (QCD); Quantum Chromodynamics (QCD); quantum chromodynamic (QCD)
8848,QCD,quantal cumulant dynamics (QCD)
8849,IAT,ion acoustic turbulence (IAT)
8850,STS,scanning tunneling spectroscopy (STS); scanning tunnelling spectroscopy (STS); Scanning Tunneling Spectroscopy (STS); superconducting tunneling spectroscopy (STS); scanning tunnel spectroscopy (STS); Scanning tunneling spectroscopy (STS)
8851,STS,spectroscopy (STS)
8852,STS,stainless steel gap domain (STS)
8853,STS,State-To-State (STS)
8854,STS,second target station (STS)
8855,STS,Staurosporine (STS); staurosporine (STS)
8856,STS,second transmitted shock (STS)
8857,EHM,even harmonic mixer (EHM)
8858,ASE,aromatic stabilization energies (ASE)
8859,ASE,amplification of spontaneous emission (ASE); Amplified spontaneous emission (ASE); Amplified Spontaneous Emission (ASE); amplified spontaneous emission (ASE); amplifier spontaneous emission (ASE)
8860,ASE,Atomic Simulation Environment (ASE); atomic simulation environment (ASE)
8861,ASE,anomalous skin effect (ASE)
8862,ASE,amplified stimulated emission (ASE)
8863,ASE,angular spectral expansion (ASE)
8864,ESHG,electric-field induced second harmonic generation (ESHG)
8865,EAFm,ethylammonium formate (EAFm)
8866,GAXRD,glancing angle x-ray diffraction (GAXRD); grazing-angle incidence x-ray diffraction (GAXRD); Grazing angle X-ray diffractometer (GAXRD); grazing angle x-ray diffraction (GAXRD)
8867,GAXRD,glancing angle XRD (GAXRD)
8868,VCCs,voltage-current characteristics (VCCs)
8869,VCCs,velocity-changing collisions (VCCs)
8870,VCCs,Voltage-to-Current Converters (VCCs)
8871,OASPL,Overall Sound Pressure Level (OASPL); overall sound pressure level (OASPL)
8872,TXmag,temperature extracted from magnetic techniques (TXmag)
8873,M-SSHI,mechanical-synchronized switching on inductor circuit (M-SSHI)
8874,H-PM-M,homogeneous-paramagnetic-metallic (H-PM-M)
8875,SNDR,signal-to-noise and distortion ratio (SNDR)
8876,AVDZ,aug-cc-pVDZ-DK (AVDZ)
8877,UFF,Universal Force Field (UFF); universal force field (UFF); Universal force field (UFF)
8878,MUSCL,Monotone Upstream-centered Scheme for Conservation Law (MUSCL); monotonic upstream-centered scheme for conservation laws (MUSCL)
8879,MUSCL,Monotonic Upwind Scheme for Conservation Laws (MUSCL); Monotone Upwind Scheme for Conservation Laws (MUSCL)
8880,MDV,maximum difference value (MDV)
8881,MDV,magnetic dipole vortex (MDV)
8882,PSFLC,polymer stabilized ferroelectric liquid crystal (PSFLC)
8883,QCPI,quantum-classical path-integral (QCPI); quantum-classical path integral (QCPI)
8884,XRMS,x-ray resonant magnetic scattering (XRMS)
8885,VSIP,valence state ionization potential (VSIP)
8886,GWS,generalized Wigner-Smith (GWS)
8887,FCW,field-cooled warming (FCW); field-cooled-warming (FCW); field-cooled warm-up (FCW); field cooled warming (FCW)
8888,HDS,hydrodesulfurization catalysis (HDS)
8889,HDS,high density state (HDS)
8890,Vs,volumes (Vs)
8891,CSL,Center for Sustainable Living (CSL)
8892,CSL,coincidence site lattice (CSL); coincidence-site-lattice (CSL); Coincidence Site Lattice (CSL)
8893,CSL,coupled-slotline (CSL)
8894,CSL,continuous spontaneous localization (CSL)
8895,CSL,coincident-site lattice models (CSL); coincident site lattice (CSL)
8896,CSL,chiral soliton lattice (CSL)
8897,SALICIDE,self-aligned silicide (SALICIDE)
8898,WHFI,whistler heat flux instability (WHFI)
8899,GSA,Gravitational Search Algorithm (GSA); gravitational search algorithm (GSA)
8900,GSA,Global Sensitivity Analysis (GSA); global sensitivity analysis (GSA)
8901,GSA,ground-state absorption (GSA); ground state absorption (GSA)
8902,GSA,global spectral analysis (GSA)
8903,GSA,global SA (GSA)
8904,GSA,GLOBAL SENSITIVITY ANALYSIS (GSA)
8905,ZSiNRs,zigzag silicene nanoribbons (ZSiNRs)
8906,FjS,F {j}=FjS+FjEV is the sum of spring (FjS)
8907,ANOVAs,Analysis Of Variances (ANOVAs)
8908,PBO,pseudo-Boolean optimization (PBO)
8909,CGLE,Complex Ginzburg-Landau equation (CGLE); complex Ginzburg–Landau equations (CGLE); coupled Ginzburg-Landau equation (CGLE); complex Ginzburg-Landau equation (CGLE)
8910,AGW,atmospheric gravity wave (AGW)
8911,BLDCM,brushless direct current motor (BLDCM)
8912,OLTF,open loop transfer function (OLTF)
8913,SASO,small-amplitude stochastic oscillations (SASO)
8914,GNPs,gold nanoparticles (GNPs); grafted nanoparticles (GNPs)
8915,GNPs,graphene nanoplatelets (GNPs)
8916,GNPs,gold NPs (GNPs)
8917,OHREX,Orion high-resolution X-ray (OHREX); Orion high-resolution x-ray (OHREX)
8918,LiPON,lithium phosphorus oxynitride (LiPON)
8919,FSI,Fluid-Structure-Interaction (FSI); fluid-structure interaction (FSI); fluid-structure interactions (FSI)
8920,FSI,front side illuminated (FSI)
8921,FSI,final state interaction (FSI); final state interactions (FSI)
8922,FSI,frequency-scanning interferometry (FSI)
8923,WSBL,wheat straw black liquor (WSBL)
8924,WLJ,Whillier/Liu and Jordan (WLJ); Whillier/Liu and Jordan model (WLJ)
8925,PC-RAMs,phase change random access memories (PC-RAMs)
8926,L-R,Left-Right (L-R)
8927,PRT,platinum resistance thermometer (PRT)
8928,NToF,neutron time–of–flight (NToF); neutron time of flight (NToF)
8929,ROI,region-of-interest (ROI); regions of interest (ROI); Region Of Interest (ROI); region of interest (ROI); Region of Interest (ROI)
8930,QFs,quantum fortresses (QFs)
8931,HMHD,Hall MHD (HMHD)
8932,HMHD,Hall-magnetohydrodynamics (HMHD)
8933,R-ART,randomized algebraic reconstruction technique (R-ART)
8934,PR-N,prototype featuring a sculpted converging-diverging nozzle (PR-N)
8935,LAO,LaAlO {3}(LAO); LaAlO {3} (LAO)
8936,LAO,lanthanum aluminum oxide (LAO)
8937,LAO,local anodic oxidation (LAO)
8938,LAO,LaAlO {3}/SrTiO {3} (LAO)
8939,PPCs,plasma photonic crystals (PPCs)
8940,JEDEC,Joint Electronics Device Engineering Council (JEDEC)
8941,Gate,gate E {F(Gate)
8942,TWR,thermal wave radar (TWR); thermal-wave radar (TWR); Thermal wave radar (TWR)
8943,LOVO,lowest occupied valence orbitals (LOVO)
8944,SSACM,simplified statistical adiabatic channel model (SSACM)
8945,DPII,depth priority integral imaging (DPII)
8946,MoGe,molybdenum germanium (MoGe)
8947,ALU,arithmetic logic unit (ALU)
8948,InS,inside the III-VI (InS)
8949,FEL,ferroelectric like (FEL)
8950,FEL,free-electron laser (FEL); Free Electron Laser (FEL); free-electron lasers (FEL); free electron laser (FEL); Free-Electron Laser (FEL); free electron lasers (FEL)
8951,FEL,first epitaxial layer (FEL)
8952,FEL,free energy landscape (FEL)
8953,HIWG,high-impedance wire grid (HIWG)
8954,HOEs,higher-order excitations (HOEs)
8955,SPICE,simulation program for integrated circuit emphasis (SPICE); Simulation Program with Integrated Circuit Emphasis (SPICE)
8956,Wg,wagging (Wg)
8957,SFT,spin filtering torque (SFT); spin-filtering torque (SFT)
8958,SFT,self-energy functional theory (SFT)
8959,SFT,stacking fault tetrahedra (SFT); stacking-fault tetrahedra (SFT)
8960,LEs,local excitations (LEs)
8961,LEs,leak elements (LEs)
8962,LEs,Langevin equations (LEs)
8963,LEs,Lyapunov exponents (LEs)
8964,PIDF,PID with the derivative filter (PIDF)
8965,MDCK,Madin-Darby Canine Kidney (MDCK); Madin Darby Canine Kidney (MDCK); Madin–Darby Canine Kidney (MDCK)
8966,SMAF,Schiff base molecules such as N-salicilydenemethylfurylamine (SMAF)
8967,NOAA,National Oceanic and Atmospheric Administration (NOAA)
8968,SR,structural feature observed in all Au {n}(SR)
8969,SR,solution phase ligand-protected Au {n}(SR)
8970,SR,setting reader (SR)
8971,SR,surface roughness (SR)
8972,SR,superradiance (SR); superradiant (SR)
8973,SR,short- (SR)
8974,SR,surface resonance (SR)
8975,SR,spin rectification (SR); spin reorientation (SR)
8976,SR,series of Au {n}(SR)
8977,SR,screened Rutherford model (SR)
8978,SR,sheet resistance (SR); series resistance (SR)
8979,SR,Schmidt reduction (SR)
8980,SR,same bound applies to ∥R(SR)
8981,SR,structure of Au {n}(SR)
8982,SR,Shield Ring electrode (SR)
8983,SR,sputter rate (SR)
8984,SR,selected relativistic (SR)
8985,SR,stimulated Raman (SR)
